regional,trimestre,valor total da venda
GSD,1Tri23,4798553
GSD,1Tri24,5649563
GSD,2Tri23,7413280
GSD,2Tri24,6352027
GSD,3Tri23,4492828
GSD,3Tri24,8748002
GSD,4Tri23,11680820
GSD,4Tri24,20705777
GVC,1Tri23,1269958
GVC,1Tri24,1579798
GVC,2Tri23,5271700
GVC,2Tri24,3107776
GVC,3Tri23,2935132
GVC,3Tri24,3456668
GVC,4Tri23,8996168
GVC,4Tri24,6272557
GVD,1Tri23,3523098
GVD,1Tri24,4796897
GVD,2Tri23,2440751
GVD,2Tri24,1262272
GVD,3Tri23,5277759
GVD,3Tri24,4547198
GVD,4Tri23,5676430
GVD,4Tri24,1567238
MTZ,1Tri23,1954572
MTZ,1Tri24,1295
MTZ,2Tri23,1038588
MTZ,2Tri24,3802526
MTZ,3Tri23,2346033
MTZ,3Tri24,1157907
MTZ,4Tri23,7623952
MTZ,4Tri24,7717711
SCL,1Tri23,10580
SSP,1Tri23,22352
